row_number,nmr_typology,continent_name,country_name,geonames_admin1_ascii_name,n_years_in_typology,n_years,y_pop_INT
1200,Mixed,Africa,Nigeria,Sokoto,11,25,152
1201,Mixed,Africa,Ethiopia,Amhara,11,25,716
1202,Mixed,Asia,Türkiye,Nevsehir,11,16,98
1203,Mixed,Africa,Kenya,Kisumu,11,24,96
1204,Mixed,Africa,Uganda,Northern Region,11,24,20
1205,Mixed,Asia,Viet Nam,Thai Nguyen,11,19,13
1206,Net sender,Europe,Germany,Saarland,11,25,2077
1207,Mixed,Asia,Israel,Northern District,11,25,319
1208,Net receiver,Asia,Israel,Haifa,11,25,889
1209,Mixed,Africa,Nigeria,Anambra,11,25,265
1210,Net receiver,South America,Chile,Maule Region,11,25,568
1211,Net receiver,North America,United States,Oklahoma,11,25,2818
1212,Mixed,Asia,Türkiye,Malatya,11,25,610
1213,IN rec. INT sen.,Asia,Japan,Toyama,11,25,1388
1214,Mixed,Europe,Romania,Sibiu,11,25,66
1215,Both balanced,Asia,Viet Nam,Vinh Phuc,11,20,26
1216,Net sender,Asia,India,Karnataka,11,25,3006
1217,Mixed,Asia,Bahrain,Muharraq,11,16,128
1218,Mixed,South America,Chile,Los Lagos Region,11,25,57
1219,IN rec. INT sen.,Europe,Germany,Saxony-Anhalt,11,25,4271
1220,Both balanced,Europe,Romania,Valcea,11,20,28
1221,Mixed,Asia,India,Manipur,11,25,439
1222,Net receiver,Europe,Denmark,North Denmark,11,25,667
1223,Net sender,Europe,Germany,Berlin,11,25,8631
1224,Both balanced,Europe,Russian Federation,Astrakhan,11,25,23
1225,IN rec. INT sen.,Europe,Finland,Uusimaa,11,25,5180
1226,Net sender,Africa,Nigeria,Oyo,11,25,634
1227,Both balanced,Europe,Ukraine,Transcarpathia,11,12,2
1228,Net receiver,Asia,United Arab Emirates,Dubai,11,25,78
1229,Net receiver,Africa,"Tanzania, United Republic of",Dar es Salaam,11,25,242
1230,Net receiver,Asia,United Arab Emirates,Sharjah,11,23,159
1231,INT rec. IN sen.,North America,United States,Mississippi,11,25,3002
1232,Both balanced,Africa,Libya,Surt,11,18,2
1233,Mixed,Asia,United Arab Emirates,Abu Dhabi,11,25,351
1234,Net receiver,Europe,France,Nouvelle-Aquitaine,12,25,2232
1235,Mixed,Africa,Cameroon,Adamaoua,12,25,55
1236,Net sender,Europe,Romania,Ilfov,12,25,187
1237,Both balanced,Europe,Russian Federation,Belgorod Oblast,12,25,44
1238,Both balanced,Asia,Syrian Arab Republic,Latakia,12,24,2
1239,Net sender,Europe,Germany,Thuringia,12,25,2031
1240,Mixed,Europe,Ukraine,Luhansk,12,25,29
1241,Net receiver,Africa,Morocco,Beni Mellal-Khenifra,12,25,14
1242,Both balanced,Europe,Russian Federation,Bryansk Oblast,12,25,43
1243,Net sender,Asia,Japan,Tottori,12,25,924
1244,Both balanced,North America,El Salvador,La Libertad,12,12,1
1245,INT rec. IN sen.,North America,United States,Minnesota,12,25,6112
1246,Mixed,Asia,Türkiye,Kars,12,25,193
1247,Both balanced,North America,Cuba,Pinar del Rio,12,25,48
1248,Mixed,South America,"Bolivia, Plurinational State of",Cochabamba,12,22,21
1249,Both balanced,Oceania,Samoa,Tuamasaga,12,18,1
1250,Both balanced,Europe,Russian Federation,Chuvashia,12,17,9
1251,Mixed,Africa,Morocco,Souss-Massa,12,25,73
1252,Both balanced,Europe,Russian Federation,Ingushetiya Republic,12,14,3
1253,Mixed,Europe,Russian Federation,Dagestan,12,25,137
1254,INT rec. IN sen.,Africa,Tunisia,Safaqis,12,25,960
1255,Mixed,Europe,Iceland,Capital Region,12,25,326
1256,Mixed,Asia,Türkiye,Kirikkale,12,25,253
1257,Mixed,Europe,Albania,Tirana,12,24,5
1258,Net receiver,Europe,Denmark,South Denmark,12,25,2431
1259,Net receiver,Africa,Nigeria,Ogun,12,25,4
1260,Mixed,Europe,Russian Federation,Kaluga,12,25,143
1261,Both balanced,Europe,Bulgaria,Sofia,12,15,4
1262,Both balanced,Europe,Lithuania,Siauliai,12,24,45
1263,INT rec. IN sen.,Asia,Thailand,Khon Kaen,12,25,571
1264,Both balanced,North America,Dominican Republic,San Pedro de Macoris,12,14,2
1265,Mixed,Asia,"Iran, Islamic Republic of",Alborz,12,19,4
1266,IN rec. INT sen.,Europe,Ukraine,Kyiv City,12,25,2526
1267,Both balanced,Africa,Tunisia,Bajah,12,14,1
1268,Both balanced,Asia,Philippines,Zamboanga Peninsula,12,13,1
1269,Both balanced,Africa,Zimbabwe,Masvingo,12,16,2
1270,Net sender,Europe,Italy,Liguria,12,25,500
1271,Both balanced,Africa,Ethiopia,Dire Dawa,12,14,1
1272,Both balanced,Europe,Ukraine,Republic of Crimea,12,15,4
1273,Mixed,Europe,Russian Federation,Kirov,12,25,36
1274,Both balanced,Europe,Romania,Gorj,12,17,4
1275,Both balanced,South America,Peru,Junin,12,18,1
1276,Mixed,Europe,Bulgaria,Pleven,12,25,35
1277,Mixed,South America,Argentina,Catamarca,12,23,20
1278,INT rec. IN sen.,North America,United States,North Dakota,12,25,1231
1279,Net sender,Europe,Germany,Hesse,12,25,6564
1280,Both balanced,Africa,Namibia,Erongo,12,18,1
1281,Mixed,Europe,Romania,Dambovita,12,23,44
1282,Both balanced,Europe,Bulgaria,Dobrich,12,14,3
1283,Both balanced,Asia,Georgia,Imereti,12,21,3
1284,Mixed,Asia,Türkiye,Nigde,12,25,7
1285,Both balanced,Europe,Slovenia,Ptuj,12,15,6
1286,Mixed,South America,Brazil,Amapa,12,21,150
1287,Both balanced,Europe,Romania,Bacau,12,17,15
1288,Net receiver,North America,United States,South Carolina,12,25,3158
1289,IN rec. INT sen.,Asia,Japan,Kochi,12,25,634
1290,Mixed,Africa,South Africa,Mpumalanga,12,25,3
1291,Both balanced,Europe,Slovenia,Miklavz na Dravskem Polju,12,12,1
1292,INT rec. IN sen.,North America,United States,Kentucky,12,25,3828
1293,Mixed,Africa,Zimbabwe,Midlands,12,21,23
1294,Mixed,Asia,Sri Lanka,Northern Province,12,25,12
1295,Net receiver,Asia,Türkiye,Sakarya,12,25,1497
1296,Net receiver,Europe,Netherlands,North Brabant,12,25,1807
1297,Both balanced,Africa,"Congo, The Democratic Republic of the",Haut-Katanga,12,24,1
1298,Net sender,Asia,China,Hunan,12,25,16446
1299,Mixed,Europe,Russian Federation,Omsk,12,25,211
1300,INT rec. IN sen.,Asia,Türkiye,Samsun,12,25,751
1301,INT rec. IN sen.,Asia,Viet Nam,Hanoi,12,25,1132
1302,Mixed,Europe,Belarus,Vitebsk,12,25,55
1303,Mixed,Europe,Ukraine,Vinnyts'ka,12,25,60
1304,Both balanced,South America,Peru,Arequipa,12,21,1
1305,Mixed,Europe,Russian Federation,Penza,12,25,67
1306,Mixed,Asia,"Korea, Democratic People's Republic of",Pyongyang,12,18,35
1307,Mixed,Europe,Slovenia,Nova Gorica,12,23,82
1308,Mixed,Asia,Indonesia,Riau,12,25,3
1309,Mixed,Asia,Malaysia,Sarawak,12,25,14
1310,Both balanced,South America,"Venezuela, Bolivarian Republic of",Tachira,12,14,4
1311,Net sender,Asia,Pakistan,Sindh,12,25,3956
1312,Net receiver,Asia,Malaysia,Perak,12,25,1328
1313,Both balanced,Europe,Russian Federation,Ryazan Oblast,12,25,20
1314,Mixed,South America,"Venezuela, Bolivarian Republic of",Aragua,12,25,23
1315,Net receiver,Asia,Türkiye,Hatay,12,25,380
1316,Both balanced,Europe,Finland,Central Ostrobothnia,12,17,2
1317,INT rec. IN sen.,Asia,Thailand,Songkhla,12,25,150
1318,Mixed,Europe,Netherlands,Zeeland,12,21,10
1319,Both balanced,Europe,Slovenia,Kanal,12,12,1
